Operation,FirstRunTiming,SecondRunTiming,
addressing edge lengths,1.7418,1.8651
addressing element qualities,0.848181,0.838644
adapting,2.60626,2.72202
addressing edge lengths,3.55615,3.46711
addressing element qualities,2.55826,2.45858
adapting,6.13181,5.94694
addressing edge lengths,3.04125,3.13038
addressing element qualities,1.70406,1.68129
adapting,4.77632,4.9229
addressing edge lengths,2.88672,2.77934
addressing element qualities,1.67141,1.67974
adapting,4.58981,4.49081
